38.28208,36.902428,37.060586,36.958415,36.538768,37.702904,37.128736,35.228753,38.835828,37.998473,
40.41932,40.464263,41.287238,41.385193,40.592404,41.294708,39.829653,40.782007,40.259161,40.622348,
39.307818,40.91568,41.779446,40.876647,41.048927,40.871913,41.06855,41.601162,41.241265,40.986137,
43.935494,44.622657,41.020512,47.043925,44.570275,41.006049,44.181567,45.823382,41.014983,40.76307,
36.600756,35.889018,34.475654,43.457917,36.186267,42.490096,37.394785,34.864901,38.006378,36.97931,
40.601264,41.322274,41.717522,40.345334,40.121387,51.145515,39.902912,42.226184,32.985341,41.299582,
55.527087,40.743396,40.71298,40.843174,41.724881,40.289974,40.844948,41.208652,41.128303,40.972866,
40.975721,41.328571,41.302124,41.553687,40.967518,40.300662,41.747352,40.993771,49.193868,40.849445,
41.032315,40.672037,40.839598,41.055096,40.992572,41.533042,39.458927,41.162887,41.958282,40.858215,
40.394877,40.616671,40.659679,40.865952,41.635378,40.498155,41.429872,41.006461,41.081466,41.273914,
