38.101097,36.319977,36.651968,36.765579,47.574907,37.318347,38.762815,36.810975,37.52767,45.311491
40.671992,40.264981,40.753074,35.877671,39.780485,40.756619,40.50224,40.500156,40.311349,39.911139
40.646785,41.579668,41.211612,41.364717,41.35236,40.757796,46.097828,44.346997,41.094973,41.279066
40.139693,48.66726,63.521036,40.730012,44.197848,44.350706,40.106498,44.031869,46.506602,41.722283
51.016143,36.319725,40.971479,41.231509,40.945498,62.327954,41.254692,35.792427,36.255691,41.816926
40.946241,40.871874,41.109284,40.336118,55.129178,41.895073,40.715008,40.705472,41.651577,44.362334
42.789145,40.956747,41.723966,40.775082,41.270482,41.604745,40.80693,41.155596,41.096997,40.97954
40.803646,41.072323,40.893072,40.982827,40.817879,40.353883,41.59662,40.833746,40.899031,40.970857
41.067832,41.914798,40.916304,41.212204,41.115264,41.511494,40.296468,40.598621,41.673657,40.616461
40.899485,41.077566,53.091622,44.523276,40.891175,40.636244,40.66616,40.722269,40.853166,41.749581
