4.14901042 | 5.747409177 | 5.428722096 | 5.494191423 | 4.51481223 | 5.509928563 | 4.768291066
6.721302407 | 7.74309426 | 6.522402479 | 6.23865656 | 7.15771469 | 6.487313096 | 6.881635167
5.137700414 | 4.17187136 | 4.552367742 | 5.50324226 | 5.47369995 | 4.969887346 | 5.81356096
4.862048946 | 3.385542027 | 4.846758021 | 4.404723865 | 5.333684905 | 4.649287572 | 5.53946905
3.801157826 | 5.592657245 | 5.244239307 | 4.318770434 | 5.311861299 | 5.362035586 | 5.30095157
5.130148168 | 4.165721902 | 5.76822151 | 4.208725384 | 4.485992052 | 4.211323615 | 4.208972164
8.167797 | 9.256804062 | 9.367058281 | 3.588699187 | 8.964394403 | 8.56623201 | 8.603316373
7.309893146 | 5.872183415 | 5.335795448 | 7.891588503 | 6.637766138 | 6.2261001 | 7.254873516
7.55048913 | 8.187013592 | 8.296386963 | 5.679167661 | 7.10385846 | 6.818406168 | 8.174128261
5.543951661 | 5.511655711 | 5.720250259 | 6.686723169 | 6.522166934 | 5.512137071 | 5.363365452

